source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,phot_g_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val
4421571941065150848,229.64368939273666,1.276281479701608,2.040583371507203,0.7495051390289484,,,19.19894,,,,"NOT_AVAILABLE",,
4421572181584168704,229.6577329161129,0.07943661381043966,2.0883432811964964,0.10578552982342099,0.15603109693845477,0.1174158198919222,16.359028,0.8009796,,,"NOT_AVAILABLE",5095.6333,
4421571941065323008,229.63769006727546,2.126672120509464,2.0464661165562363,1.366766119375833,,,19.263626,,,,"NOT_AVAILABLE",,
4421572009789501952,229.61962381482567,0.3290248237252883,2.0551050982819636,0.25365905019073365,-0.2563688901454867,0.35107148765412716,18.027397,0.66015434,,,"NOT_AVAILABLE",,
4421572765702356736,229.61993475331852,0.3351573241774273,2.0602661196383933,0.3538878174467499,,,17.88438,0.5931568,,,"NOT_AVAILABLE",,
4421572044149240192,229.62704850567758,9.028400891504882,2.060062355834692,13.713313782329838,,,18.239706,,,,"NOT_AVAILABLE",,
4421573590334153728,229.6427118557012,0.17325899696600386,2.1208609267480942,0.15200656125507547,0.11942307576067976,0.18251817515164623,18.204256,0.6901989,,,"NOT_AVAILABLE",,
4421573384175540352,229.64997888328278,0.2194772431322005,2.114986037037662,0.19325609517657275,0.5113811432443205,0.24393726777931185,18.639935,,,,"NOT_AVAILABLE",,
4421478929255506304,229.6028294749216,0.9709601482500967,2.0495848145522118,1.8534868297478793,,,19.13562,,,,"NOT_AVAILABLE",,
4421573418535310976,229.65942042151588,0.9839669113692129,2.1220509227145903,0.5606337332706894,,,18.856733,,,,"NOT_AVAILABLE",,
4421572868781571072,229.61265106414422,18.86663438808495,2.072172424504442,32.141111519713085,,,19.24186,,,,"NOT_AVAILABLE",,
4421572181584166912,229.65862370851252,0.27967524134006927,2.088177359665006,0.4935212167943106,,,17.5118,0.70690155,,,"NOT_AVAILABLE",,
4421572108573175040,229.668030556874,0.2639672218326857,2.078218964093332,0.24553996619595655,-0.32261539989397053,0.35331302439979123,17.969044,,,,"NOT_AVAILABLE",,
4421572971858015872,229.63168808934344,13.350189006544063,2.0909522154167464,3.488531455282748,,,17.162502,,,,"NOT_AVAILABLE",,
4421571941065322880,229.6367530682358,1.3759032552818538,2.0460681934713834,1.0056531532183568,,,18.413326,0.5567837,,,"NOT_AVAILABLE",,
4421572971861466496,229.61956478666983,2.5165053518441396,2.0931733766363414,2.0764130006079924,,,17.68446,,,,"NOT_AVAILABLE",,
4421572903138581760,229.63655924898669,0.6303021508533402,2.07502373804436,0.29596163570121775,,,15.5219965,,,,"NOT_AVAILABLE",,
4421478997973539840,229.59442092784607,1.5178716674442387,2.0634606602616863,2.6876063370060628,,,19.037579,0.5820637,,,"NOT_AVAILABLE",,
4421573590334153856,229.63897230415145,0.21693285188639405,2.118535500675952,0.18569526957270577,1.5791098153014134,0.24116487144229162,18.066122,,,,"NOT_AVAILABLE",,
4421571906705412736,229.6762482154489,0.8465936277210471,2.060878518833537,0.42359108490739134,,,18.922762,0.67751503,,,"NOT_AVAILABLE",,
4421572147224125568,229.64202945213802,17.493245097107533,2.070299542971524,1.6869981496442676,,,17.404053,,,,"NOT_AVAILABLE",,
4421573521616837888,229.66803605173698,19.418491074913195,2.119668423838852,32.75498768505066,,,19.670174,,,,"NOT_AVAILABLE",,
4421573074937927424,229.60615718024837,0.21968146187834542,2.0894831671403518,0.3999769155814463,0.5291911857141564,0.46058848248994244,18.140003,0.74194336,,,"NOT_AVAILABLE",,
4421572937498584960,229.64233432063696,0.682705446736121,2.09185708433553,1.1261895764333922,,,17.817024,,,,"NOT_AVAILABLE",,
4421572147228455552,229.64753113638076,0.023391955823647368,2.072726749993258,0.021850325413042482,0.03791251199839151,0.027481652770398334,13.75033,1.200717,,,"NOT_AVAILABLE",5143.45,
4421571906705412864,229.67367559502563,0.16049474863951996,2.0592916005506767,0.1306850139348614,-0.08117057989054142,0.17567870143512357,18.19518,0.63489723,,,"NOT_AVAILABLE",,
4421572555249773696,229.66807619712523,0.03902455128740208,2.0846277217303326,0.03995315180989725,0.12565423079176724,0.05089984874403426,14.975005,0.81553555,,,"NOT_AVAILABLE",5707.935,
4421571941065322624,229.63727090425064,0.1906576470611081,2.0469680109811845,0.12227267921642515,0.37263207461480924,0.15836984060006037,17.880255,,,,"NOT_AVAILABLE",,
4421572593905053696,229.6822294784785,1.0590073423548596,2.094043143017853,0.5356425436873344,,,17.095407,0.8738766,,,"NOT_AVAILABLE",,
4421573315457912832,229.6612185570763,0.14896741345932504,2.104465001414613,0.13389902615785965,-1.9072880477437804,0.15921058580470548,17.718346,0.7679024,,,"NOT_AVAILABLE",,
4421478997973540096,229.59348413705754,0.9358859709031775,2.0630508276100796,1.3985084980291589,8.186776315408219,1.138928495922942,19.315985,,,,"NOT_AVAILABLE",,
4421572971858016128,229.63112907355054,0.18868345020738872,2.0901732507933266,0.1558901087369798,-0.09861074938979844,0.20705419274658776,15.683591,0.19905949,,,"NOT_AVAILABLE",6311.115,
4421573624693892480,229.65148069772695,0.2242711161612631,2.12637151285842,0.18972228819137038,0.6122895981375062,0.2471665013092632,18.662767,0.70334435,,,"NOT_AVAILABLE",,
4421478929255506688,229.60093110200128,0.4987958867880498,2.0486016786041623,0.7961317017738402,,,18.431025,1.0357666,,,"NOT_AVAILABLE",,
4421572834419606528,229.59897677348297,0.34416819148528827,2.074966789628803,0.48453053255252226,,,18.732693,,,,"NOT_AVAILABLE",,
4421572181584168576,229.65751840095294,0.21223286335443556,2.088387827194289,0.26835044178613865,0.1960500942880591,0.31337544632249564,16.228827,,,,"NOT_AVAILABLE",,
4421572147224294912,229.64904939888655,0.042146440912945934,2.076375772533566,0.05642688084942617,0.2598247766923825,0.05524348291318532,14.022336,1.0013037,,,"NOT_AVAILABLE",5143.45,
4421572765699775104,229.6173553518278,0.06230671601794344,2.0677907590731746,0.0646180356715484,0.2182832444844257,0.07057041470141989,15.87069,0.94382095,,,"NOT_AVAILABLE",5143.45,
4421573624693892864,229.64411429756356,0.3343378535354553,2.1217900475660834,0.23191987193626862,1.4958910940264958,0.3218935420937359,18.836761,,,,"NOT_AVAILABLE",,
