source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,radial_velocity,radial_velocity_error,a_g_val
1360527446169462144,259.8949291717671,0.08219545258349006,43.677633992954696,0.08049197876279712,6.213052417347832,0.0877541135944538,-13.92470152892279,0.19262748242403482,22.748263374554746,0.18435811689617262,0.14050391,-0.106853165,0.018449765,0.009673376,-3.776938E-4,-0.28062612,-0.1872399,0.024285706,,,
1360401964409323136,259.01555573238363,0.04609213751634211,43.27106972926021,0.04870523255673712,5.963756222366525,0.05057910462115953,0.7112787051653877,0.09798229420286823,-16.63247036507486,0.09624612972876555,0.11968855,-0.11420933,-0.13649757,0.27170062,-0.19066644,-0.26734543,-0.13689247,0.020140504,,,0.1395
1360509338587547520,259.8666360103117,0.06381323142326578,43.43269635778901,0.06061864600323157,5.910909800234765,0.06741994488527311,40.291572019208914,0.14103166497894437,-69.77517915722115,0.133469558505884,0.17440414,-0.1770943,0.01837118,0.23316199,-0.0024501532,-0.26298028,-0.054206755,-0.03377005,,,
1360386502526223104,258.5283586623199,0.05605039121268669,42.86560056083577,0.06076008675536645,5.064861030478435,0.061881573114021905,0.15172283763191796,0.12243998133615015,48.17204524139704,0.13382958724220562,-0.07609597,-0.1839379,-0.13813604,0.085234225,-0.1573835,-0.27598292,-0.10422573,-0.009265651,,,0.17
1360414196475355136,259.6013991331717,0.02455218478897961,43.325178227932994,0.02455592813111842,5.084327981185952,0.028104805317819236,-26.23532091734134,0.04949434172918889,-12.006412111723598,0.05192873771296472,-0.3633168,-0.08547233,0.089585975,0.08245102,0.022203652,-0.1332288,-0.16492389,-0.176071,-62.88024523493564,0.18182944987950242,
1360518375198500992,260.1645738111357,0.03531870511840881,43.63650036235128,0.035981698252825926,5.44657215237584,0.03772942827867281,-11.480850970804571,0.07394813722091771,2.646854819403425,0.07681216368121699,-0.0329911,0.18202956,-0.15862653,0.019952375,-0.190644,-0.2576237,-0.20288561,-0.04503645,,,0.22
1360517894162186496,260.04709584242306,0.014270483280230645,43.74631914484702,0.014072598488754034,10.999813675702796,0.015414629810771064,-83.29497961700824,0.028927549872970998,-108.50378266588729,0.0297713993051189,-0.24974577,0.2036853,-0.015320572,0.12772617,-0.0851876,-0.20461592,-0.14225453,-0.03135068,,,0.128
1360388559810570112,258.73248325486196,0.1467226655429191,42.95741393164927,0.1702250353996483,5.711635480318302,0.16358054176530168,0.5485777487703452,0.33674467815996173,-37.433052120879765,0.32975874078054845,-0.084341444,-0.070189476,-0.07752113,-0.028320078,-0.11387747,-0.48489425,-0.030193519,-0.0616788,,,
1360480132811542656,259.1321718842126,0.05942836497206322,43.63850096253522,0.06750403554144979,5.020691089556612,0.0707425499297721,-8.428106784745454,0.1149334361507526,21.238598706274544,0.13291620056166306,-0.28122205,0.15093431,-0.0054525845,0.24569549,-0.111382626,-0.28119332,-0.20773159,0.09662142,,,
1360499541767251584,259.24429379108017,0.08406766090389547,43.88735004974315,0.11655610616316738,8.274028425648039,0.10721873976458056,-177.6012425695285,0.20418714874372684,-35.41795449272419,0.3255704643988861,0.21412918,-0.14761665,0.24554855,-0.20739983,0.19355702,-0.59209734,-0.2109306,0.47580835,,,
1360369150858339456,258.6713725657081,0.045380305212100853,42.67372375572046,0.047516738809379594,5.7194939720113425,0.050105695345518585,-16.422979358913043,0.09510815534988991,-1.6279322353161243,0.09215529053036867,-0.30233186,-0.2306725,-0.016267965,0.09125166,-0.043016627,-0.29267627,-0.03474346,-0.05407506,,,0.352
1360441649907164544,258.7007882225755,0.02867846509987207,43.19600884805438,0.029208637293354493,8.803048283328629,0.03093042916190615,25.702472666220828,0.06242145175914313,-127.20971304618031,0.06642454357032596,-0.08645281,-0.09415472,-0.13481046,0.01891758,-0.15308288,-0.25872788,-0.060151476,0.08677015,,,0.3805
1360501397192232448,259.46379487852255,0.12911407927474308,43.90278570890535,0.17914230472058923,7.456649010056482,0.15470893553891935,-71.51493996677522,0.3011711243325691,10.657875779500811,0.3771305024215044,0.20362714,-0.1089996,0.0016716329,-0.19988114,-0.046901826,-0.5267521,-0.1447024,0.15854266,,,
1360498240396521600,259.15939085143077,0.20827158508098834,43.885982056703014,0.27937703286527776,6.033574681747096,0.2528119548181837,28.121914196123992,0.4785704242567727,-54.69502400062635,0.6118619659281825,-0.11374926,-0.046478145,-0.09223571,0.11838308,-0.14882483,-0.352157,-0.03385378,0.04411246,,,0.4635
1360500027102918400,259.27646419074233,0.02158581497630429,43.93161039494468,0.023687140778047292,7.326918160710613,0.024617731338776074,-25.761896449003913,0.05330386282114639,77.10993383195574,0.051018218090472675,0.08323698,0.19906764,0.008202103,0.13284864,-0.02257444,-0.31432137,0.19407566,0.07272055,-24.941671698563432,0.2843600174323029,0.192
1360376675642140672,258.73866383481175,0.048442421079691426,42.92707069668336,0.05712777035516223,5.368155475289324,0.05516494719512166,12.198475940053793,0.11321772379477972,15.573763890486424,0.11447196093880961,-0.0435513,-0.08125154,-0.105791844,-0.09809161,-0.14025779,-0.3874137,0.078374624,-0.08414847,,,0.1892
1361224605260853632,258.94889801149765,0.023944526737419942,43.78046468559838,0.030510029739164616,5.4165076198331885,0.029509924946216137,3.659907995470661,0.048882184008903554,-86.87468426420256,0.06441605904505378,-0.32373565,0.0018787826,-0.10766712,0.0965878,-0.14470561,-0.36592004,-0.0733143,0.16286205,,,0.087
1361248553998674688,259.04317370427566,0.029636170752123086,43.863121176788404,0.038185649651207666,18.540937272290343,0.03409404177284599,-77.52762110968052,0.06647607406548389,31.39409701368457,0.0815494372488687,0.13222058,-0.18082717,0.22451364,-0.16512147,0.18213418,-0.5030673,-0.23083232,0.24231741,,,
1361236631169270656,258.3950697957401,0.14852028656073735,43.818783725714965,0.19156611606228663,5.810521384240344,0.18215296398596936,-9.386528089343884,0.3256331229609479,0.9966880166283906,0.4269910358259085,-0.1311294,-0.03777331,-0.12427313,-0.09524217,-0.099583365,-0.04335267,-0.24211271,-0.074843876,,,
